d,E_atom_UHF,E_atom_CCSD,E_atom_CCSD_T,E_mol_UHF,E_mol_CCSD,E_mol_CCSD_T,PES_UHF,PES_CCSD,PES_CCSD_T
1.50,-1049.656473,-1049.926288,-1049.932098,-2098.978767,-2099.799008,-2099.855335,0.334179,0.053568,0.008861
1.55,-1049.656473,-1049.926288,-1049.932098,-2099.027917,-2099.816046,-2099.870989,0.285030,0.036530,-0.006793
1.60,-1049.656473,-1049.926288,-1049.932098,-2099.069216,-2099.827819,-2099.880532,0.243731,0.024757,-0.016336
1.68,-1049.656473,-1049.926288,-1049.932098,-2099.122271,-2099.840262,-2099.888192,0.190675,0.012314,-0.023995
1.80,-1049.656473,-1049.926288,-1049.932098,-2099.179884,-2099.852363,-2099.892005,0.133062,0.000213,-0.027809
2.00,-1049.656473,-1049.926288,-1049.932098,-2099.239722,-2099.867522,-2099.896097,0.073225,-0.014946,-0.031901
2.25,-1049.656473,-1049.926288,-1049.932098,-2099.280125,-2099.880373,-2099.902057,0.032822,-0.027797,-0.037860
2.50,-1049.656473,-1049.926288,-1049.932098,-2099.300521,-2099.884983,-2099.903554,0.012425,-0.032407,-0.039358
2.75,-1049.656473,-1049.926288,-1049.932098,-2099.310189,-2099.883344,-2099.900098,0.002758,-0.030768,-0.035902
3.00,-1049.656473,-1049.926288,-1049.932098,-2099.314199,-2099.878543,-2099.893987,-0.001253,-0.025967,-0.029791
3.25,-1049.656473,-1049.926288,-1049.932098,-2099.315433,-2099.872933,-2099.887353,-0.002487,-0.020357,-0.023156
5.00,-1049.656473,-1049.926288,-1049.932098,-2099.313302,-2099.854701,-2099.866552,-0.000356,-0.002125,-0.002356

